"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Order","Filled","","2026-05-10T16:40:49Z","","","","","","KXLOWTDAL-26MAY10-T63","50a346ab-07d3-44d3-873a-68da07d158fd","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T16:40:49Z","12:40pm EDT","","","0.02","","KXLOWTDAL-26MAY10-T63","50a346ab-07d3-44d3-873a-68da07d158fd","","","No","Taker","51","","","","","","","","",""
"Order","Filled","","2026-05-10T16:19:30.510Z","","","","","","KXLOWTOKC-26MAY10-B58.5","a5b3d87b-e9f9-488b-925e-27a1a1d80223","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T16:19:30.510Z","12:19pm EDT","","","0.02","","KXLOWTOKC-26MAY10-B58.5","a5b3d87b-e9f9-488b-925e-27a1a1d80223","","","No","Taker","34","","","","","","","","",""
"Order","Filled","","2026-05-10T16:09:13.943Z","","","","","","KXLOWTSATX-26MAY10-B67.5","c1ffb7b4-9210-4166-a8a9-c325d851ed9c","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T16:09:13.943Z","12:09pm EDT","","","0.02","","KXLOWTSATX-26MAY10-B67.5","c1ffb7b4-9210-4166-a8a9-c325d851ed9c","","","No","Taker","61","","","","","","","","",""
"Order","Filled","","2026-05-10T16:03:05.583Z","","","","","","KXLOWTSFO-26MAY10-B52.5","94de2985-f39d-4a33-a423-06381ed4b009","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T16:03:05.583Z","12:03pm EDT","","","0.01","","KXLOWTSFO-26MAY10-B52.5","94de2985-f39d-4a33-a423-06381ed4b009","","","No","Taker","91","","","","","","","","",""
"Order","Filled","","2026-05-10T15:52:57.147Z","","","","","","KXLOWTAUS-26MAY10-B65.5","81347b78-5a0b-4b17-94e2-ba8d155255df","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T15:52:57.147Z","11:52am EDT","","","0.02","","KXLOWTAUS-26MAY10-B65.5","81347b78-5a0b-4b17-94e2-ba8d155255df","","","No","Taker","62","","","","","","","","",""
"Order","Filled","","2026-05-10T15:40:29.542Z","","","","","","KXLOWTSEA-26MAY10-B49.5","c5716fc6-b89c-47a6-8170-a3073488d9aa","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T15:40:29.542Z","11:40am EDT","","","0.01","","KXLOWTSEA-26MAY10-B49.5","c5716fc6-b89c-47a6-8170-a3073488d9aa","","","No","Taker","89","","","","","","","","",""
"Order","Filled","","2026-05-10T15:31:18.449Z","","","","","","KXLOWTDEN-26MAY10-B43.5","ce6abe98-8d66-4147-8a97-8bf901b4fa14","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T15:31:18.449Z","11:31am EDT","","","0.01","","KXLOWTDEN-26MAY10-B43.5","ce6abe98-8d66-4147-8a97-8bf901b4fa14","","","No","Taker","6","","","","","","","","",""
"Order","Filled","","2026-05-10T15:21:43.409Z","","","","","","KXLOWTLAX-26MAY10-B56.5","36709443-4ab6-45a2-9792-603d91ce9c67","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T15:21:43.409Z","11:21am EDT","","","0.02","","KXLOWTLAX-26MAY10-B56.5","36709443-4ab6-45a2-9792-603d91ce9c67","","","No","Taker","19","","","","","","","","",""
"Order","Filled","","2026-05-10T15:12:25.918Z","","","","","","KXLOWTLV-26MAY10-T73","a9d97c74-74cf-4862-8e11-745bac5cb40d","1","0","","","","","","","","","","","",""
"Trade","","1","2026-05-10T15:12:25.918Z","11:12am EDT","","","0.02","","KXLOWTLV-26MAY10-T73","a9d97c74-74cf-4862-8e11-745bac5cb40d","","","No","Taker","56","","","","","","","","",""
"Settlement","","","2026-05-10T14:16:05.894Z","","","","","","KXLOWTDC-26MAY09-B55.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.907Z","","","","","","KXLOWTSEA-26MAY09-B47.5","","","","","","","1","0.98","1","0.09","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.906Z","","","","","","KXLOWTOKC-26MAY09-B53.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.903Z","","","","","","KXLOWTMIN-26MAY09-B44.5","","","","","","","1","0.99","0","0.00","no","1.07","","",""
"Settlement","","","2026-05-10T14:12:15.900Z","","","","","","KXLOWTATL-26MAY09-B57.5","","","","","","","1","0.99","0","0.00","no","1.10","","",""
"Settlement","","","2026-05-10T14:12:06.014Z","","","","","","KXLOWTAUS-26MAY09-B68.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:06.011Z","","","","","","KXLOWTCHI-26MAY09-B48.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:06.003Z","","","","","","KXLOWTLAX-26MAY09-T59","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:05.998Z","","","","","","KXLOWTDEN-26MAY09-T48","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-10T14:11:45.908Z","","","","","","KXHIGHTLV-26MAY09-B98.5","","","","","","","1","0.97","1","0.38","yes","0.00","","",""
"Settlement","","","2026-05-10T14:11:45.899Z","","","","","","KXHIGHTBOS-26MAY09-B57.5","","","","","","","1","0.98","1","0.14","no","0.00","","",""
"Trade","","1.32","2026-05-10T13:37:29.328Z","9:37am EDT","","","0.00","","KXHIGHLAX-26MAY10-T72","61c68002-28e2-4ac5-b56f-c6ac20e6ca74","","","No","Maker","82","","","","","","","","",""
"Trade","","1.15","2026-05-10T13:11:31.983Z","9:11am EDT","","","0.00","","KXHIGHMIA-26MAY10-B88.5","caa4a5dd-f262-4fac-93e4-3fb52d443f10","","","Yes","Maker","8","","","","","","","","",""
"Order","Filled","","2026-05-10T12:17:03.987Z","","","","","","KXHIGHTATL-26MAY10-B79.5","7f3c7fed-1d9f-4b1a-94af-467c3195e0f5","1.09","0","","","","","","","","","","","",""
