"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Settlement","","","2026-05-10T14:16:05.894Z","","","","","","KXLOWTDC-26MAY09-B55.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.907Z","","","","","","KXLOWTSEA-26MAY09-B47.5","","","","","","","1","0.98","1","0.09","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.906Z","","","","","","KXLOWTOKC-26MAY09-B53.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:15.903Z","","","","","","KXLOWTMIN-26MAY09-B44.5","","","","","","","1","0.99","0","0.00","no","1.07","","",""
"Settlement","","","2026-05-10T14:12:15.900Z","","","","","","KXLOWTATL-26MAY09-B57.5","","","","","","","1","0.99","0","0.00","no","1.10","","",""
"Settlement","","","2026-05-10T14:12:06.014Z","","","","","","KXLOWTAUS-26MAY09-B68.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:06.011Z","","","","","","KXLOWTCHI-26MAY09-B48.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T14:12:06.003Z","","","","","","KXLOWTLAX-26MAY09-T59","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T14:12:05.998Z","","","","","","KXLOWTDEN-26MAY09-T48","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-10T14:11:45.908Z","","","","","","KXHIGHTLV-26MAY09-B98.5","","","","","","","1","0.97","1","0.38","yes","0.00","","",""
"Settlement","","","2026-05-10T14:11:45.899Z","","","","","","KXHIGHTBOS-26MAY09-B57.5","","","","","","","1","0.98","1","0.14","no","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.935Z","","","","","","KXHIGHCHI-26MAY09-B76.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.925Z","","","","","","KXHIGHMIA-26MAY09-B93.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T12:02:05.907Z","","","","","","KXHIGHNY-26MAY09-B67.5","","","","","","","1","0.99","0","0.00","no","1.09","","",""
"Settlement","","","2026-05-10T11:32:55.893Z","","","","","","KXLOWTHOU-26MAY09-B70.5","","","","","","","1","0.97","1","0.12","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.765Z","","","","","","KXLOWTNYC-26MAY09-B52.5","","","","","","","1","0.97","1","0.32","yes","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.761Z","","","","","","KXHIGHTHOU-26MAY09-B83.5","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.755Z","","","","","","KXLOWTPHX-26MAY09-B72.5","","","","","","","1","0.97","1","0.16","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:40.750Z","","","","","","KXLOWTLV-26MAY09-B70.5","","","","","","","1","0.98","0","0.00","no","1.05","","",""
"Settlement","","","2026-05-10T11:32:40.744Z","","","","","","KXLOWTMIA-26MAY09-B75.5","","","","","","","1","0.99","0","0.00","yes","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.944Z","","","","","","KXHIGHTATL-26MAY09-B78.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.938Z","","","","","","KXHIGHTSEA-26MAY09-B72.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.931Z","","","","","","KXHIGHLAX-26MAY09-T69","","","","","","","1","0.99","0","0.00","no","1.08","","",""
"Settlement","","","2026-05-10T11:32:15.909Z","","","","","","KXHIGHTMIN-26MAY09-B60.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:15.899Z","","","","","","KXHIGHTSATX-26MAY09-B87.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.857Z","","","","","","KXHIGHTDC-26MAY09-B70.5","","","","","","","1","0.98","1","0.09","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.851Z","","","","","","KXHIGHTNOLA-26MAY09-B78.5","","","","","","","1","0.97","1","0.23","no","0.00","","",""
"Settlement","","","2026-05-10T11:32:05.846Z","","","","","","KXHIGHTSFO-26MAY09-B67.5","","","","","","","1","0.98","1","0.05","no","0.00","","",""
"Settlement","","","2026-05-10T11:07:05.935Z","","","","","","KXHIGHPHIL-26MAY09-B66.5","","","","","","","1","0.98","1","0.06","no","0.00","","",""
"Settlement","","","2026-05-10T11:07:05.930Z","","","","","","KXHIGHDEN-26MAY09-B73.5","","","","","","","1","0.98","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T16:37:27.041Z","","","","","","KXLOWTHOU-26MAY08-B64.5","","","","","","","1","0.97","1","0.10","no","0.00","","",""
"Settlement","","","2026-05-09T16:37:16.993Z","","","","","","KXHIGHTHOU-26MAY08-B80.5","","","","","","","1","0.97","1","0.23","no","0.00","","",""
"Settlement","","","2026-05-09T12:03:06.959Z","","","","","","KXHIGHMIA-26MAY08-T93","","","","","","","1","0.98","1","0.11","no","0.00","","",""
"Settlement","","","2026-05-09T12:02:57.052Z","","","","","","KXHIGHNY-26MAY08-B64.5","","","","","","","2","0.47","2","0.46","no","0.00","","",""
"Settlement","","","2026-05-09T11:33:46.940Z","","","","","","KXLOWTSATX-26MAY08-T60","","","","","","","1","0.98","1","0.01","no","0.00","","",""
