type,quantity,market_ticker,side,entry_price_cents,exit_price_cents,open_fees_cents,close_fees_cents,realized_pnl_without_fees_cents,realized_pnl_with_fees_cents,close_timestamp,open_timestamp
trade,1,KXHIGHLAX-26MAY04-B66.5,no,68,100,2,0,32,30,2026-05-05T07:33:01-04:00,2026-05-03T11:15:59-04:00
trade,1,KXHIGHLAX-26MAY04-B62.5,no,85,100,1,0,15,14,2026-05-05T07:33:01-04:00,2026-05-03T11:12:12-04:00
trade,1,KXHIGHLAX-26MAY04-B64.5,yes,36,0,2,0,-36,-38,2026-05-05T07:33:01-04:00,2026-05-03T11:13:40-04:00
trade,1,KXHIGHNY-26MAY04-B70.5,no,87,100,1,0,13,12,2026-05-05T08:02:52-04:00,2026-05-03T18:47:34-04:00
trade,7,KXHIGHCHI-26MAY04-T76,no,88,100,6,0,84,78,2026-05-05T08:02:52-04:00,2026-05-03T18:49:41-04:00
trade,3,KXHIGHCHI-26MAY04-T76,no,88,100,2,0,36,34,2026-05-05T08:02:52-04:00,2026-05-03T18:49:41-04:00
trade,10,KXHIGHCHI-26MAY04-B82.5,no,81,100,11,0,190,179,2026-05-05T08:02:52-04:00,2026-05-03T18:50:14-04:00
trade,2,KXHIGHMIA-26MAY04-B85.5,no,91,100,2,0,18,16,2026-05-05T08:03:01-04:00,2026-05-03T18:51:19-04:00
trade,1,KXHIGHMIA-26MAY04-B85.5,no,91,100,0,0,9,9,2026-05-05T08:03:01-04:00,2026-05-03T18:51:19-04:00
trade,1,KXHIGHMIA-26MAY04-B83.5,no,71,100,2,0,29,27,2026-05-05T08:03:01-04:00,2026-05-03T18:44:17-04:00
trade,1,KXHIGHMIA-26MAY04-B79.5,no,82,100,2,0,18,16,2026-05-05T08:03:01-04:00,2026-05-03T18:43:19-04:00
trade,1,KXLOWTNYC-26MAY07-B47.5,no,76,99,2,1,30,27,2026-05-07T22:51:32-04:00,2026-05-07T06:10:37-04:00
trade,1,KXLOWTPHIL-26MAY07-B49.5,no,93,99,1,1,6,4,2026-05-07T22:51:42-04:00,2026-05-07T06:11:50-04:00
trade,0,KXLOWTPHIL-26MAY07-B49.5,no,93,99,0,0,0,0,2026-05-07T22:51:42-04:00,2026-05-07T06:11:50-04:00
trade,1,KXLOWTLAX-26MAY07-B54.5,no,90,97,1,1,7,5,2026-05-07T22:51:48-04:00,2026-05-07T06:13:26-04:00
trade,0,KXLOWTLAX-26MAY07-B54.5,no,90,97,0,0,1,1,2026-05-07T22:51:48-04:00,2026-05-07T06:13:26-04:00
trade,1,KXLOWTMIA-26MAY07-B72.5,no,80,99,2,1,23,21,2026-05-07T22:52:03-04:00,2026-05-07T06:14:29-04:00
trade,1,KXLOWTPHX-26MAY07-B65.5,no,81,99,2,1,18,15,2026-05-07T22:52:11-04:00,2026-05-07T06:15:35-04:00
trade,0,KXLOWTPHX-26MAY07-B65.5,no,87,99,0,0,2,2,2026-05-07T22:52:11-04:00,2026-05-07T06:15:35-04:00
trade,1,KXLOWTATL-26MAY07-B63.5,no,88,95,1,0,8,6,2026-05-07T22:52:18-04:00,2026-05-07T06:17:04-04:00
trade,1,KXLOWTLV-26MAY07-B63.5,no,81,99,2,1,18,15,2026-05-07T22:52:26-04:00,2026-05-07T06:17:49-04:00
trade,0,KXLOWTLV-26MAY07-B63.5,no,87,99,0,0,2,2,2026-05-07T22:52:26-04:00,2026-05-07T06:17:49-04:00
trade,1,KXLOWTMIA-26MAY08-B73.5,no,68,76,3,1,11,8,2026-05-08T06:19:04-04:00,2026-05-08T06:16:05-04:00
trade,1,KXLOWTPHIL-26MAY08-B48.5,no,78,86,2,0,10,8,2026-05-08T06:49:09-04:00,2026-05-08T06:40:05-04:00
trade,1,KXLOWTDC-26MAY08-B45.5,no,86,93,1,1,8,6,2026-05-08T06:54:22-04:00,2026-05-08T06:48:05-04:00
trade,1,KXLOWTDEN-26MAY08-B43.5,no,79,88,2,0,11,9,2026-05-08T06:55:11-04:00,2026-05-08T06:38:18-04:00
trade,1,KXLOWTPHX-26MAY08-B66.5,no,81,91,2,0,10,8,2026-05-08T07:33:30-04:00,2026-05-08T06:42:03-04:00
trade,0,KXLOWTPHX-26MAY08-B66.5,no,90,91,1,0,0,-1,2026-05-08T07:33:30-04:00,2026-05-08T06:42:03-04:00
trade,1,KXLOWTSFO-26MAY07-B50.5,no,90,100,1,0,10,9,2026-05-08T07:34:54-04:00,2026-05-07T06:20:06-04:00
trade,0,KXLOWTSFO-26MAY07-B50.5,no,92,100,1,0,1,0,2026-05-08T07:34:54-04:00,2026-05-07T06:20:06-04:00
trade,1,KXLOWTHOU-26MAY08-B64.5,no,81,91,2,0,10,8,2026-05-08T07:36:07-04:00,2026-05-08T06:57:07-04:00
trade,0,KXLOWTHOU-26MAY08-B64.5,no,90,91,1,0,0,-1,2026-05-08T07:36:07-04:00,2026-05-08T06:57:07-04:00
trade,1,KXHIGHTHOU-26MAY08-B80.5,no,74,82,2,0,11,8,2026-05-08T08:07:48-04:00,2026-05-08T06:27:29-04:00
trade,1,KXHIGHTOKC-26MAY08-B85.5,no,73,80,2,0,9,7,2026-05-08T09:11:10-04:00,2026-05-08T06:29:26-04:00
trade,1,KXHIGHTSATX-26MAY08-B79.5,no,67,76,2,0,9,7,2026-05-08T09:30:36-04:00,2026-05-08T06:32:12-04:00
trade,0,KXHIGHTSATX-26MAY08-B79.5,no,68,76,1,0,4,2,2026-05-08T09:35:38-04:00,2026-05-08T06:32:12-04:00
trade,1,KXHIGHLAX-26MAY08-B68.5,no,56,66,3,0,17,14,2026-05-08T09:52:52-04:00,2026-05-08T05:46:31-04:00
trade,1,KXLOWTLAX-26MAY08-B58.5,no,70,78,3,0,11,8,2026-05-08T10:18:13-04:00,2026-05-08T06:34:01-04:00
trade,1,KXHIGHTDC-26MAY08-B69.5,no,82,90,2,0,10,8,2026-05-08T10:50:08-04:00,2026-05-08T06:00:03-04:00
trade,1,KXLOWTSEA-26MAY08-B46.5,no,92,96,1,0,4,3,2026-05-08T10:50:25-04:00,2026-05-08T06:53:38-04:00
trade,1,KXLOWTDC-26MAY07-B53.5,no,81,100,2,0,19,17,2026-05-08T11:17:54-04:00,2026-05-07T06:19:00-04:00
trade,0,KXLOWTDC-26MAY07-B53.5,no,87,100,0,0,2,2,2026-05-08T11:17:54-04:00,2026-05-07T06:19:00-04:00
trade,1,KXLOWTSFO-26MAY08-B50.5,no,90,95,1,0,5,4,2026-05-08T11:28:56-04:00,2026-05-08T06:49:28-04:00
trade,1,KXHIGHTBOS-26MAY08-B64.5,no,89,95,1,0,6,5,2026-05-08T11:51:14-04:00,2026-05-08T06:10:01-04:00
trade,2,KXHIGHNY-26MAY08-B64.5,no,45,57,4,0,26,21,2026-05-08T12:01:13-04:00,2026-05-08T05:48:04-04:00
trade,1,KXHIGHTNOLA-26MAY08-B76.5,no,61,69,3,1,13,9,2026-05-08T12:40:46-04:00,2026-05-08T06:36:00-04:00
trade,1,KXHIGHTSFO-26MAY08-B66.5,no,84,92,2,1,9,7,2026-05-08T13:49:02-04:00,2026-05-08T06:08:42-04:00
trade,1,KXLOWTNYC-26MAY08-B44.5,no,89,99,1,1,11,9,2026-05-08T14:02:14-04:00,2026-05-08T05:58:50-04:00
trade,1,KXHIGHTSEA-26MAY08-B65.5,no,87,91,0,1,4,3,2026-05-08T14:02:45-04:00,2026-05-08T06:42:55-04:00
trade,1,KXLOWTLV-26MAY08-B67.5,no,90,99,1,1,10,8,2026-05-08T14:02:54-04:00,2026-05-08T06:46:45-04:00
trade,1,KXLOWTSATX-26MAY08-T60,no,93,99,1,1,6,4,2026-05-08T14:03:03-04:00,2026-05-08T06:55:54-04:00
trade,0,KXLOWTSATX-26MAY08-T60,no,96,99,0,0,0,0,2026-05-08T14:03:03-04:00,2026-05-08T06:55:54-04:00
trade,0,KXLOWTSFO-26MAY08-B50.5,no,90,88,0,1,0,-1,2026-05-08T14:03:14-04:00,2026-05-08T06:49:28-04:00
trade,0,KXHIGHTBOS-26MAY08-B64.5,no,89,95,0,0,1,0,2026-05-08T14:03:23-04:00,2026-05-08T06:10:01-04:00
trade,1,KXHIGHMIA-26MAY08-T93,no,86,90,1,2,5,2,2026-05-08T14:03:36-04:00,2026-05-08T05:52:50-04:00
trade,1,KXHIGHPHIL-26MAY08-B71.5,no,91,89,1,1,-2,-4,2026-05-08T14:03:47-04:00,2026-05-08T05:56:06-04:00
trade,1,KXHIGHTLV-26MAY08-B97.5,no,82,79,2,2,-4,-7,2026-05-08T14:03:59-04:00,2026-05-08T06:07:15-04:00
trade,1,KXLOWTSEA-26MAY09-B47.5,no,86,92,1,1,7,5,2026-05-09T06:24:47-04:00,2026-05-09T05:58:21-04:00
trade,1,KXLOWTAUS-26MAY09-B68.5,no,87,95,2,0,9,7,2026-05-09T06:57:35-04:00,2026-05-09T05:55:12-04:00
trade,1,KXHIGHPHIL-26MAY09-B66.5,no,86,94,1,0,8,7,2026-05-09T07:01:58-04:00,2026-05-09T05:38:30-04:00
trade,1,KXLOWTPHX-26MAY09-B72.5,no,79,87,2,1,10,7,2026-05-09T07:20:57-04:00,2026-05-09T05:48:30-04:00
trade,1,KXLOWTHOU-26MAY09-B70.5,no,77,90,2,0,13,11,2026-05-09T07:26:08-04:00,2026-05-09T05:57:19-04:00
trade,1,KXLOWTNYC-26MAY09-B52.5,no,69,77,3,1,11,8,2026-05-09T07:57:39-04:00,2026-05-09T05:46:18-04:00
trade,0,KXHIGHPHIL-26MAY09-B66.5,no,86,94,0,0,1,1,2026-05-09T08:21:58-04:00,2026-05-09T05:38:30-04:00
trade,1,KXHIGHTHOU-26MAY09-B83.5,no,84,90,2,1,7,4,2026-05-09T08:50:53-04:00,2026-05-09T05:43:20-04:00
trade,1,KXHIGHTBOS-26MAY09-B57.5,no,80,88,2,0,10,8,2026-05-09T08:52:27-04:00,2026-05-09T05:34:42-04:00
trade,1,KXHIGHTNOLA-26MAY09-B78.5,no,74,82,2,0,8,6,2026-05-09T09:00:51-04:00,2026-05-09T05:49:08-04:00
trade,0,KXHIGHTNOLA-26MAY09-B78.5,no,74,82,1,0,3,2,2026-05-09T09:00:56-04:00,2026-05-09T05:49:08-04:00
trade,0,KXLOWTHOU-26MAY09-B70.5,no,81,90,1,1,2,1,2026-05-09T09:15:54-04:00,2026-05-09T05:57:19-04:00
trade,1,KXLOWTLAX-26MAY09-T59,no,84,92,2,1,9,7,2026-05-09T09:16:43-04:00,2026-05-09T05:47:18-04:00
trade,1,KXHIGHTATL-26MAY09-B78.5,no,87,95,2,0,9,7,2026-05-09T09:30:49-04:00,2026-05-09T05:36:28-04:00
trade,1,KXHIGHDEN-26MAY09-B73.5,no,85,91,1,1,7,5,2026-05-09T10:15:28-04:00,2026-05-09T05:45:27-04:00
trade,1,KXHIGHTDC-26MAY09-B70.5,no,86,92,1,1,7,5,2026-05-09T10:20:42-04:00,2026-05-09T05:39:07-04:00
trade,1,KXLOWTDC-26MAY09-B55.5,no,85,95,1,0,10,9,2026-05-09T11:31:31-04:00,2026-05-09T05:57:54-04:00
trade,0,KXLOWTDC-26MAY09-B55.5,no,86,95,0,0,1,1,2026-05-09T11:31:31-04:00,2026-05-09T05:57:54-04:00
trade,1,KXHIGHMIA-26MAY09-B93.5,no,88,95,1,0,8,6,2026-05-09T12:36:26-04:00,2026-05-09T05:32:28-04:00
trade,1,KXHIGHTSFO-26MAY09-B67.5,no,87,95,1,0,8,7,2026-05-09T13:59:44-04:00,2026-05-09T05:40:53-04:00
trade,0,KXHIGHTSFO-26MAY09-B67.5,no,87,95,1,0,1,0,2026-05-09T13:59:44-04:00,2026-05-09T05:40:53-04:00
trade,1,KXHIGHTSATX-26MAY09-B87.5,no,88,95,1,0,8,6,2026-05-09T14:37:37-04:00,2026-05-09T05:49:44-04:00
trade,1,KXHIGHTMIN-26MAY09-B60.5,no,84,92,2,1,9,7,2026-05-09T15:26:13-04:00,2026-05-09T05:44:32-04:00
trade,1,KXHIGHTLV-26MAY09-B98.5,no,66,74,3,1,12,8,2026-05-09T16:42:38-04:00,2026-05-09T05:40:09-04:00
trade,1,KXHIGHTSEA-26MAY09-B72.5,no,88,95,1,0,8,6,2026-05-09T17:13:11-04:00,2026-05-09T05:37:22-04:00
